Publisher App ID,Publisher App Name,Market ID,Adomain Blocked (Account),Adomain Blocked (App),Adv Market ID Blocked (Account),Adv Market ID Blocked (App),Demand Block Count,Demand Blocks Split,Demand Blocklist IDs,Demand Blocklist Comments,Analyzed Advertiser,Gap Type
606f2ffdd37415b54988d988,Bubble Shooter,1557357811,true,false,true,false,0,,,,kalshi.com,kalshi_gap
62af22ab7ce32c085974afc2,Geometry Dash SubZero,1324044770,false,false,false,false,1,App (1),App (11269650),App (client request),kalshi.com,kalshi_gap
6543f42929ee44e8782a2945,Crazy Eights,6464439483,true,false,true,false,0,,,,kalshi.com,kalshi_gap
66753716f646af2fcfc11f8c,Blessedid,6503184925,false,false,false,false,1,App (1),App (10821193),App (Religion BL),kalshi.com,kalshi_gap
573082f8607a4e6d62000059,HCR 2016 (iOS),564540143,false,false,false,false,1,App (1),App (11269650),App (client request),kalshi.com,kalshi_gap
5f8d4096132adedfb9596609,The Calculator,398129933,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
66dfebe0655237cdd139d46c,Blurams_IOS,1445991661,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
5b338d3a2df7e7468a4fb004,My Talking Tom 2 - appstore,1337578317,false,false,false,false,1,App (1),App (11269650),App (client request),kalshi.com,kalshi_gap
64db6180d4592a1f1c806bde,SHAREit,725215120,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
690dfb95bd04c47d2c1bb66e,Goal - Soccer News & Scores,518026818,false,false,false,false,0,,,,kalshi.com,kalshi_gap
67b41606cf89a5b27bdd8e84,Boykeep_IOS,6472993326,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
67c6db614a068ff910e4144a,Hajo,6502821354,false,false,false,false,1,Customer (1),Customer (12440436),Customer (proactive block due to brand concerns),kalshi.com,kalshi_gap
689642fb36ecdd3f2888c31f,Bessy,6445881079,false,false,false,false,1,Customer (1),Customer (12440436),Customer (proactive block due to brand concerns),kalshi.com,kalshi_gap
683ee1c7cd4b6e3af019bda8,My Sticker Room,6743738094,false,false,false,false,2,"App (1), Campaign (1)","App (11269650), Campaign (10120326)","App (client request), Campaign (client requested to block)",kalshi.com,kalshi_gap
69a1cdeba5541394545119cf,CardGames.io iOS,1496007149,false,false,false,false,0,,,,kalshi.com,kalshi_gap
637cdfcaf09cbf8ae87a1079,Swipewipe iOS,1583884012,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
601875477428c3216e4505af,Monopoly Solitaire,1536804215,true,false,true,false,0,,,,kalshi.com,kalshi_gap
677e27b315d300adfe8ce45f,Asmr Musi,6615071731,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
670f35ec4c1e2982cf063b38,Bird Sort 2 Color Puzzle Game iOS PM_GPL,6689494714,false,false,false,false,1,App (1),App (11719891),App (no coloring apps),kalshi.com,kalshi_gap
69689e32b6c7ab8878a11511,yurihead_com-cronos-recordplayer,396869519,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
68ed03cb1a93eb43afc48588,VPN360 iOS,1193154948,false,false,false,false,1,App (1),App (10821198),App (VPN Block),kalshi.com,kalshi_gap
65236bd70e8e377c60312286,iOS_MakeASMR,6465175605,false,false,false,false,1,App (1),App (11269650),App (client request),kalshi.com,kalshi_gap
5b47d1f1283b1411c973ac54,Police Pursuit iOS,1406725978,false,false,false,false,1,Customer (1),Customer (11780342),Customer (Kalshi keyword blocklist),kalshi.com,kalshi_gap
697b3026a265576fe9243462,Magic Eraser,1619950778,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
69394225b92039a768f79572,teachord,6755950527,false,false,false,false,1,App (1),App (10912566),App (VPN+Utility+Passive App Blocks),kalshi.com,kalshi_gap
662c46c261db5b0a87580b5e,Cribbage,6498791610,true,false,true,false,0,,,,kalshi.com,kalshi_gap
650363ddd38855ef54aae568,OfferUp iOS,468996152,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
684fe5259f7ebc7d027585c8,IOS | Flashscore: Live Scores & News,766443283,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
592fc29cc10833a4760012c6,Sudoku - Classic Sudoku Puzzle Game,1193508329,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
653a33af7b1a3c2b6f2b138a,Vita Mahjong,6468921495,false,false,false,false,2,"App (1), Campaign (1)","App (11932005), Campaign (12414962)","App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance), Campaign (high RPA)",polymarket.com,polymarket_gap
67b5f7021be9345ad181a7d8,Sofascore IOS,1176147574,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5dfae2bf66091a78d58169d1,Words With Friends 3 Word Game,1196764367,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
68887aeb5f7b35e31f06647a,Word Solitaire: Associations IOS,6748950306,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5c9c7a04d13ede0012e22ff2,Blockudoku IOS,1452227871,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
66b372f5e33c9a548741ff37,Crossword Master IOS,6547858927,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5fdfae0fc5d4c9ab8efa6701,Number Match IOS,1545567989,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5e6868c8ffd487601beebc7a,WWF1 - iOS,321916506,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
6268445fe544d565a3f73230,Toon Blast,1176027022,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
6642cf9be0cbed6459a1b767,Tile Trip iOS,6498883328,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
68f9f643adc1b994d6b7c171,Livescore,356928178,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
641bbdc51e0260737618e232,ZenWord iOS,1660171117,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
69613d6aa37bf42bb072233f,Brick Blast iOS,6756913359,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5e84a5d1ce415a000187164f,Sudoku Killer iOS,1505735640,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5ef316979c3a0300015b0a03,Art Puzzle - iOS,1519174001,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
685f0edd6d5c129491a495a9,Weather - The Weather Channel,295646461,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5d778a8a04e89100182b2aaa,Sudoku,1442749804,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5ff67536418070451b70740d,Boggle With Friends: Word Game,1197041040,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
63974e72c5c2a3f1faf76b37,Backgammon iOS,6443484197,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
69154b0b1de7be35146a52bd,Jigsawcard iOS,6754900673,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5130b34aff10712a34000051,4 Pics 1 Word iOS,595558452,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
67c060d3b5a7d2bd8485ce41,Queens Master iOS,6741799909,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
66ed44a4f909844620b79258,Connect Word iOS,6692629257,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
594b076f74ab6c6835001467,Solitaire,593715088,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
