adomain,iab_code,spend,daily_spend
hardrock.bet,IAB1-3,0.0014937999999999998,0.0002
draftkings.com,IAB12,0.001330913,0.0002
hardrock.bet,IAB24,0.0013063999900000001,0.0002
betway.com,IAB1,0.001249748055201292,0.0002
sports.nj.betmgm.com,IAB9-7,0.0012256559999999992,0.0002
polymarket.us,IAB17,0.0011021999999999998,0.0002
betrivers.com,IAB25,0.000939740296,0.0001
on.betrivers.ca,IAB1-3,0.0008822000000000001,0.0001
polymarket.us,IAB1-3,0.0008424,0.0001
underdogfantasy.com,IAB17,0.0007,0.0001
robinhood.com,IAB13-11,0.0006537599855518341,0.0001
tonybet.com,IAB1-3,0.0005555,0.0001
indrive.com,IAB3,0.0005084499999999999,0.0001
hardrock.bet,IAB3-11,0.00047747999,0.0001
sports.bwin.es,IAB9-7,0.00041859000000000004,0.0001
hardrock.bet,IAB1-8,0.0003081715000812709,0.0
indrive.com,IAB2,0.000234,0.0
betrivers.com,IAB22-1,0.00019306300000000002,0.0
betrivers.com,IAB1-6,0.00018596100000000003,0.0
sportsbook.draftkings.com,IAB25,0.00014032748999999998,0.0
betrivers.com,IAB16,0.00013084424000000004,0.0
betrivers.com,IAB3-11,0.00011960000000000001,0.0
betrivers.com,IAB10,6.38894e-05,0.0
betmgm.co.uk,IAB3,6.3e-05,0.0
betrivers.com,IAB18-1,6.1727e-05,0.0
sports.ladbrokes.com,IAB1-3,5.7e-05,0.0
betclic.pt,IAB25,3.1e-05,0.0
on.sportsinteraction.com,IAB9,2.1870000000000002e-05,0.0
polymarket.us,IAB22-2,1.3665800371438264e-05,0.0
