pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,total_combos,exempted_combo_count,missing_combo_count,missing_combos,dk_app_daily_spend_exempted,exempted_combo_network_daily,missing_combo_network_daily,dk_combo_network_daily_total,penetration_rate,est_uplift_missed_daily
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Tile Match - Match Puzzle Game,63b7bf0fa928816f6c42effc,com.tile.match.blockpuzzle,3248.3204,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
Pocket Entertainment Services LLC,6315b8713c59f7001bacf8fb,Americas,Rutvij Jadav,PocketFM IOS,6345c091c17e333ca212effc,1538433480,3447.9015,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
GeoTechnologies Inc.,5f45fb2f150074001547df11,APAC,Nam Trinh,トリマ-移動するだけでポイントが貯まる,5f45ffd8256e1b0001a4189a,jp.co.incrementp.milemobile,1808.1312,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
LOTUM Media GmbH,561e8d936b8d90f61a0014ca,EMEA,Hadil Salameh,4 Pics 1 Word iOS,5130b34aff10712a34000051,595558452,1732.9825,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art - Color by Number,5a167dd1d0d008d90400a61d,1274972321,1640.7307,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Tile Match -Triple puzzle game,64ee188a4ca99f72ba7c5d70,in.playsimple.triple.tile.matchgame.pair.three.puzzle.object.royale,1639.763,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,"Sweet Crunch - Matching, Blast Puzzle Game",6051fadcdec34f1e8a8888cc,com.cookie.match3.casual,1034.5435,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Hole.io,5b2a4c2c8815f423b86d090f,io.voodoo.holeio,1045.8782,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7dc15a81a003c1700ebfe,com.pieyel.scrabble,4870.4114,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,Geometry Dash Lite,6276cb2872361e0c07c98cec,698255242,3471.3525,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Dots,561e8d976b8d90f61a004735,EMEA,Louis Wallworth,Twodots iOS,5b7c5bff274f5b2f7bc47219,880178264,1147.9624,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Screw Sort Puzzle,6667a74988cc429f2d801763,6499293031,1193.3197,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,UNO!™,5b14f1387ea39141340a6d68,com.matteljv.uno,1202.5102,10,4,6,"Combo3,Combo4,Combo6,Combo7,Combo9,Combo10",0.0,27469.0506,15157.5813,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon iOS,63974e72c5c2a3f1faf76b37,6443484197,1306.6428,10,8,2,"Combo4,Combo7",0.0,37570.8181,5055.8138,42626.6319,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Jam : Fun Brain Game,5c6bcec910122f720df1553b,1269540854,1400.6844,10,8,2,"Combo4,Combo7",0.0,37570.8181,5055.8138,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words IOS,66db113537f8220673f9e833,6612024746,1458.7926,10,8,2,"Combo4,Combo7",0.0,37570.8181,5055.8138,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku Killer iOS,5e84a5d1ce415a000187164f,1505735640,1530.1728,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Phase 10 Android,5d81cc3fe412d000189dc34b,com.mattel163.phase10,1583.0986,10,4,6,"Combo3,Combo4,Combo6,Combo7,Combo9,Combo10",0.0,27469.0506,15157.5813,42626.6319,0.0,0.0
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Hole.io,5f5ba15b8b44650001cad5b7,1389111413,1588.1584,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Tile Match - Match Puzzle Game,63ff39ab1e40c644de13073f,6444056676,1595.8747,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Veraxen Ltd,561e8d936b8d90f61a00134a,EMEA,Kseniia Fesenko,Jigsaw Collection HD,524ad17f92fcd29365000006,642831690,1626.5089,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
FotMob AS,66e0182c82571e00117d2acb,EMEA,Louis Wallworth,FotMob iOS,66e0363553834547abf558a2,488575683,1584.5514,10,4,6,"Combo3,Combo4,Combo6,Combo7,Combo9,Combo10",0.0,27469.0506,15157.5813,42626.6319,0.0,0.0
