pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,total_combos,exempted_combo_count,missing_combo_count,missing_combos,dk_app_daily_spend_exempted,exempted_combo_network_daily,missing_combo_network_daily,dk_combo_network_daily_total,penetration_rate,est_uplift_missed_daily
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,New YAHTZEE® With Buddies – Fun Game for Friends,591539d970abb44126000394,com.scopely.yux,649.5941,10,8,2,"Combo4,Combo7",23.8124,37570.8181,5055.8138,42626.6319,0.00055863,2.8243
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,FlickReels,66ab1f501ea687af3dc00e4e,6514312894,893.8792,10,8,2,"Combo4,Combo7",23.3949,37570.8181,5055.8138,42626.6319,0.00054883,2.7748
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword Android,5af5545d8e03cf7acee13a66,in.crossy.daily_crossword,926.4727,10,8,2,"Combo4,Combo7",19.855,37570.8181,5055.8138,42626.6319,0.00046579,2.3549
Gamebasics BV,561e8d936b8d90f61a000c29,,Sales Ops,Online Soccer Manager - iOS,6130d1b1e4bcd916bfa188d5,400201466,564.0222,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",5.0294,32023.6546,10602.9773,42626.6319,0.00011799,1.251
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,FreeReels-安卓,689b0fdef369593cb0e287e9,com.freereels.app,35620.5561,10,6,4,"Combo5,Combo8,Combo9,Combo10",8.9785,37079.4684,5547.1635,42626.6319,0.00021063,1.1684
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Explorer,61fbd43bbb5dc5ef7a216388,1512407890,534.354,10,8,2,"Combo4,Combo7",9.1448,37570.8181,5055.8138,42626.6319,0.00021453,1.0846
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews iOS,67d272dadc73e19db732c198,579581125,13606.7959,10,6,4,"Combo5,Combo8,Combo9,Combo10",7.5467,37079.4684,5547.1635,42626.6319,0.00017704,0.9821
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,UNO!™,5b14f1027ea39141340a6ada,1344700142,2895.2487,10,6,4,"Combo3,Combo4,Combo6,Combo7",1.2032,28372.1576,14254.4743,42626.6319,2.823e-05,0.4024
Sliide,643d1561e09b08001442e672,EMEA,Beth Taylor-Lowen,T-Mobile Play,68d40d4f63e6cee0292ae24b,com.tmobile.m1,1119.1264,10,9,1,Combo4,4.1311,38796.1317,3830.5002,42626.6319,9.691e-05,0.3712
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.9285,28372.1576,14254.4743,42626.6319,2.178e-05,0.3105
