rtb_connection_id,rtb_connection_name,rtb_daily_spend,filter_type,blocked_app_id,blocked_app_name,blocked_account_id,blocked_account_name,app_daily_revenue,uplift_score
610114023b0d9d6e3e3d8c8c,RTB - Mintegral hardcore video,1175.61,allow,5df90b5c66091a78d5815e82,Blackjack Casino iOS,5c05196699e4374b87bda3b9,Tripledot Studios,3346.25,3933886.17
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,6718ca934a1ec2bd8d864e26,Mahjong Triple Club,5fe2fafd6013fb0015208652,GamoVation,1203.95,3932947.72
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,64c2648349fc2279edeb88f2,Traffic Escape,60afcdd4407e6d0018810836,Fomo Oyun Yazılım ve Pazarlama A.Ş. İstanbul İhtisas Serbest Bölge Şubesi,1203.94,3932941.83
620cd2590276f33eb98aa329,Exchange - RTB - BigoDsp US banner,1758.39,allow,619e4c9f799184ce269991cd,Dice Dreams,60112a3ed3c4a000156a31d9,Superplay,2236.41,3932493.56
66e4916183f51c6e7581f0c7,RTB - Albatross EU Video & Display,1621.19,allow,5a905921d21df82a03002a6b,Cookie Jam Match 3,58910f6a5f5e338431000675,Jamcity INC.,2425.58,3932328.99
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,692d9305965aa7e90a0c05ba,Waterslide Tycoon Home Screen,5fc618102e8dd2001579b65d,App Central ltd,1203.39,3931132.65
67c0fee526d63f95b4dc7b44,RTB - RTBHouse PL Video Bundle Test,1051.2,allow,67a09724ffda0af1dd8c6caf,Crossword Go,568b8cb3bb2089a80600000a,Playsimple Games,3739.46,3930931.97
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,5e4a53856309c20017130e48,LINE PokoPoko,5ce21c80d788b30012b31658,Treenod,1203.19,3930490.46
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,60ccb4ca950f6127ef6c8e16,Pocket Champs (Android),5b5ec3e8337f272131edc824,MadBox,1202.98,3929802.91
67c0fee526d63f95b4dc7b44,RTB - RTBHouse PL Video Bundle Test,1051.2,allow,6667a74988cc429f2d801763,Screw Sort Puzzle,634d301fa3774b001b7c0dbc,ToGather Fun Limited,3738.04,3929432.27
66e4916183f51c6e7581f0c7,RTB - Albatross EU Video & Display,1621.19,allow,6809ac2c2568b8f33495b6d8,Bubble Bus,5cda78f561a35300113a86ab,Moonee,2422.32,3927044.75
66e4916183f51c6e7581f0c7,RTB - Albatross EU Video & Display,1621.19,allow,5f45ffa82f1f7c000130fe19,トリマ-移動するだけでポイントが貯まる,5f45fb2f150074001547df11,GeoTechnologies Inc.,2421.11,3925082.81
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,6362364f952ac005717d7cb4,Zombie Waves,64631cb61aec7f0014e2bfed,NEW_FOREVER SATURN CORPORATION LIMITED,1498.86,3924931.62
64ecf86c2f56a48df271382d,RTB - LoopMe Static Interstitial,1005.69,deny,65fbcd09d68917830d40a9d5,zeta iOS,65f02b00af81650011344521,Scatterlab,3902.18,3924371.9
67c0fee526d63f95b4dc7b44,RTB - RTBHouse PL Video Bundle Test,1051.2,allow,61c9994ec3aa9ecb8f64d131,Moovit Android,61c991a5fe4ec600172e5e08,MOOVIT APP GLOBAL LTD,3733.09,3924234.47
620cd2590276f33eb98aa329,Exchange - RTB - BigoDsp US banner,1758.39,allow,674718d1fa70582cee6c049e,JustPlay,67c057525a9de100115b66ec,JustPlay GmbH,2230.82,3922670.28
66e4916183f51c6e7581f0c7,RTB - Albatross EU Video & Display,1621.19,allow,67978c1bc1d0e427bfd009bc,JustPlay iOS,619b548fc9c9c1001796f1f6,Gimica GmbH,2419.59,3922624.29
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,68b6b11a0e4ccdf0435abc0a,BonusTV,68b15a7cc3df44b6b016cb9f,"SHORT DRAMA CO, LIMITED",1200.51,3921727.15
69334e3c8a10c39937e87752,RTB - Magnite Direct Placements - Americas Banner,1399.14,allow,6672d811429c14443ac5fb6d,Hidden Spots,57d1b461ae2b57d903000027,Easybrain Ltd,2802.38,3920915.57
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,6912064edcd984f22c652c3f,deveem_io-deveem-vpn,6297c4bc012073001b3df035,Yandex Inc.,1496.99,3920023.79
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,5c6bcec910122f720df1553b,Crossword Jam : Fun Brain Game,568b8cb3bb2089a80600000a,Playsimple Games,1496.45,3918602.11
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,6874fa4e61fad0cbc8862a9e,Hole Stars,561e8d966b8d90f61a0033c4,Moon Active,1496.13,3917782.18
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,64dd7e3dd0a59bea1ebdc488,MoboReels,62a858f7348a840017e80ac5,"FUZHOU JIARUAN SOFTWARE TECHNOLOGY CO.,LTD.",1495.27,3915525.13
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,60780915a89ffffc0c0a1ed2,YouCut,561e8d976b8d90f61a003fcf,InstaShot,1198.46,3915021.94
6723dc5f6efcd4343070194b,RTB - Magnite - Static Interstitial Americas,1235.29,deny,6524875860aebaee1ce371d0,kik ios,62e85e3836ed04001b6d0adb,MediaLab,3168.9,3914511.34
620cd2590276f33eb98aa329,Exchange - RTB - BigoDsp US banner,1758.39,allow,675696da7913198c9ecadac0,Screw 3D iOS (CD),58b91be73e5caab04b000296,Mavericks Mobile,2225.98,3914149.19
610114023b0d9d6e3e3d8c8c,RTB - Mintegral hardcore video,1175.61,allow,68075411da8e5a572a730472,BeSoccer,680748860437920011951532,BeSoccer,3329.41,3914081.8
6839f28bedd688e8319d99ab,Criteo - US - fullscreen video,1839.44,allow,6875fcc861fad0cbc88635dd,LOKBOX: Pocket Cinema,6875f522babc2000110fb14e,Chongqing JiguJigu  Network Technol,2127.87,3914081.51
