account_id,account_name,account_daily_spend,blocked_creative_id,is_high_spend_creative
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363186078,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_757753,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_762112,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_723439,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_762142,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_368921098,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_757754,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756887,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756838,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_353154925,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363466488,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_763408,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_360342965,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_354959470,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756824,False
606c7bac7a37680015801ad8,jiayou,196782.26,6135c233b2f85d001747c3d2_dcfeedad20c1a1df13ca22e683b4694f_11,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_364282247,False
606c7bac7a37680015801ad8,jiayou,196782.26,6135c233b2f85d001747c3d2_8028e0b2a89f59080f7e007e3904e735_11,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_364975233,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_366071893,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_329271452,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_763415,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_361072726,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756828,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_351111753,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_728806,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_357138627,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_353154687,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_363186078,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368695949,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_744697,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_362586768,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_365195754,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_744184,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756895,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_359797263,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_370053492,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_744187,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368919977,False
606c7bac7a37680015801ad8,jiayou,196782.26,6135c233b2f85d001747c3d2_7314485694565418244,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_364083832,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_345220478,False
606c7bac7a37680015801ad8,jiayou,196782.26,60bdc983a982ad0017edb6f7_2868416213,False
606c7bac7a37680015801ad8,jiayou,196782.26,60bdc983a982ad0017edb6f7_2865575853,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_362529279,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_357138627,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_367849234,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_757752,False
