pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,adv_title,network_share,adv_daily_spend,est_uplift_daily
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,market id,com.football.app.android,Football.com : Sports Betting,0.00047974,2142.333,25.7626
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1241984225,Testerup: Test & Earn Rewards,0.00026593,1187.5323,25.7593
Rollic Games,5bec0018c9af0a7962a96f4a,EMEA,Dina Eraksan,,,,5962.8382,account,market id,6741076536,Modo Casino Slots & Games,0.00431168,19254.3628,25.7098
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,6445910349,StarGames: Slots mit Echtgeld,0.00030688,1370.4062,25.7057
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,stargames.de,,0.00030688,1370.4062,25.7057
The Weather Company,685efaf2892f9d0011d7b87f,Americas,Lisa Tolentino,,,,31265.5923,account,domain,playojo.com,,0.00082198,3670.6679,25.6997
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,market id,1077137248,"BIGO LIVE-Live Stream, Go Live",0.00149463,6674.4491,25.662
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,superbet.bet.br,,0.00029349,1310.5969,25.619
InstaShot,561e8d976b8d90f61a003fcf,APAC,Harper Zhang,,,,8194.0566,account,domain,cloudfront.net,,0.00312299,13946.1054,25.5899
InstaShot,561e8d976b8d90f61a003fcf,APAC,Harper Zhang,,,,8194.0566,account,domain,googll.store,,0.0031123,13898.3949,25.5024
WONDERFUL TYCOON LIMITED,683bc1bb4c15ca0011ad2b91,APAC,Sunton Sun,,,,9607.5382,account,domain,oakevergames.com,,0.00265429,11853.0704,25.5012
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,candivore.io,,0.00030413,1358.1169,25.4752
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,,,,79135.9541,account,market id,com.playfungame.jp,,0.00032185,1437.2427,25.4695
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,domain,papaya.com,,0.00025412,1134.8093,25.3964
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,zeroogravitygames.com,,0.0004728,2111.3511,25.39
Rollic Games,5bec0018c9af0a7962a96f4a,EMEA,Dina Eraksan,,,,5962.8382,account,market id,1462060332,DraftKings Casino - Real Money,0.00425673,19009.0063,25.3822
