domain,rtb_account_id,country,network_spend_7d,network_daily_spend,route_key
kalshi.com,5f6413c9612b1a0015099993,US,71800.87125468357,10257.2673,"('kalshi.com', '5f6413c9612b1a0015099993', 'US')"
revolut.com,5f6413c9612b1a0015099993,FR,71594.76561074401,10227.8237,"('revolut.com', '5f6413c9612b1a0015099993', 'FR')"
hplconsultingltd.com,5f6413c9612b1a0015099993,US,70825.77254428601,10117.9675,"('hplconsultingltd.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,67055dc40f05bd0011e279ae,ZA,69518.08795448854,9931.1554,"('temu.com', '67055dc40f05bd0011e279ae', 'ZA')"
goodluckstudioltd.com,5f6413c9612b1a0015099993,US,68475.83271367461,9782.2618,"('goodluckstudioltd.com', '5f6413c9612b1a0015099993', 'US')"
grand.gs,5f6413c9612b1a0015099993,GB,67801.15582584761,9685.8794,"('grand.gs', '5f6413c9612b1a0015099993', 'GB')"
chimebank.com,5f6413c9612b1a0015099993,US,66942.30151911412,9563.1859,"('chimebank.com', '5f6413c9612b1a0015099993', 'US')"
tiktok.com,5f6413c9612b1a0015099993,IT,65151.48491697589,9307.355,"('tiktok.com', '5f6413c9612b1a0015099993', 'IT')"
courtyard.io,5f6413c9612b1a0015099993,US,63738.83876684914,9105.5484,"('courtyard.io', '5f6413c9612b1a0015099993', 'US')"
scopely.com,5f6413c9612b1a0015099993,US,61311.939771696845,8758.8485,"('scopely.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,67055dc40f05bd0011e279ae,IL,60910.565975795456,8701.5094,"('temu.com', '67055dc40f05bd0011e279ae', 'IL')"
temu.com,5f6413c9612b1a0015099993,CH,60573.47107261889,8653.353,"('temu.com', '5f6413c9612b1a0015099993', 'CH')"
realplayltd.com,5f6413c9612b1a0015099993,US,59318.46169897739,8474.066,"('realplayltd.com', '5f6413c9612b1a0015099993', 'US')"
tiktok.com,5bc0e10e25c7d7796ebe8fc0,US,58969.98044700009,8424.2829,"('tiktok.com', '5bc0e10e25c7d7796ebe8fc0', 'US')"
draftkings.com,5f6413c9612b1a0015099993,US,58837.11601604599,8405.3023,"('draftkings.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,65660afecebd4a0011dcc2ac,US,56996.70767171594,8142.3868,"('temu.com', '65660afecebd4a0011dcc2ac', 'US')"
casino.draftkings.com,5f6413c9612b1a0015099993,CA,56718.940443283325,8102.7058,"('casino.draftkings.com', '5f6413c9612b1a0015099993', 'CA')"
amazon.com,67f579a965660600111030c2,US,56703.91617,8100.5595,"('amazon.com', '67f579a965660600111030c2', 'US')"
mercadolibre.com,5f6413c9612b1a0015099993,MX,54967.523978866535,7852.5034,"('mercadolibre.com', '5f6413c9612b1a0015099993', 'MX')"
revolut.com,5f6413c9612b1a0015099993,GB,54615.97850200332,7802.2826,"('revolut.com', '5f6413c9612b1a0015099993', 'GB')"
cloudfront.net,5f6413c9612b1a0015099993,IN,54111.10328209838,7730.1576,"('cloudfront.net', '5f6413c9612b1a0015099993', 'IN')"
temu.com,5f6413c9612b1a0015099993,CO,53791.012455578646,7684.4304,"('temu.com', '5f6413c9612b1a0015099993', 'CO')"
mercadolibre.com,5f6413c9612b1a0015099993,BR,52798.64388883234,7542.6634,"('mercadolibre.com', '5f6413c9612b1a0015099993', 'BR')"
prizepicks.com,5f6413c9612b1a0015099993,US,51460.44695531443,7351.4924,"('prizepicks.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,67055dc40f05bd0011e279ae,SA,50999.939927796004,7285.7057,"('temu.com', '67055dc40f05bd0011e279ae', 'SA')"
freecash.com,5f6413c9612b1a0015099993,DE,49921.17946810994,7131.5971,"('freecash.com', '5f6413c9612b1a0015099993', 'DE')"
global.e.mi.com,63217c5d436480001cd32ae4,BR,49299.80978106145,7042.83,"('global.e.mi.com', '63217c5d436480001cd32ae4', 'BR')"
amazon.com,66e46b7a0f05bd0011e180e6,US,48830.96528285113,6975.8522,"('amazon.com', '66e46b7a0f05bd0011e180e6', 'US')"
jackpotcity.com,5f6413c9612b1a0015099993,CA,48451.962191226674,6921.7089,"('jackpotcity.com', '5f6413c9612b1a0015099993', 'CA')"
revolut.com,5f6413c9612b1a0015099993,IT,47127.05690771287,6732.4367,"('revolut.com', '5f6413c9612b1a0015099993', 'IT')"
tiktok.com,5f6413c9612b1a0015099993,VN,46770.59420524325,6681.5135,"('tiktok.com', '5f6413c9612b1a0015099993', 'VN')"
papayagaming.com,5fbc06efdcdfdb0015dda411,US,46293.41071760009,6613.3444,"('papayagaming.com', '5fbc06efdcdfdb0015dda411', 'US')"
coupang.com,69a6eb8e8bd5a04249ce2e3d,KR,45908.53282232136,6558.3618,"('coupang.com', '69a6eb8e8bd5a04249ce2e3d', 'KR')"
temu.com,5f6413c9612b1a0015099993,AR,45500.07173299222,6500.0102,"('temu.com', '5f6413c9612b1a0015099993', 'AR')"
king.com,5f6413c9612b1a0015099993,GB,44984.493985458466,6426.3563,"('king.com', '5f6413c9612b1a0015099993', 'GB')"
dave.com,5f6413c9612b1a0015099993,US,44769.726161619445,6395.6752,"('dave.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,67055dc40f05bd0011e279ae,PE,44600.92614835276,6371.5609,"('temu.com', '67055dc40f05bd0011e279ae', 'PE')"
healthycell.com,5f6413c9612b1a0015099993,US,42758.72135262805,6108.3888,"('healthycell.com', '5f6413c9612b1a0015099993', 'US')"
dreamgames.com,60bdc983a982ad0017edb6f7,US,42691.41596970483,6098.7737,"('dreamgames.com', '60bdc983a982ad0017edb6f7', 'US')"
tiktok.com,5f6413c9612b1a0015099993,BR,42382.137694030374,6054.5911,"('tiktok.com', '5f6413c9612b1a0015099993', 'BR')"
apple.com,602442ef9f0893001526406b,GB,41518.76160114589,5931.2517,"('apple.com', '602442ef9f0893001526406b', 'GB')"
temu.com,615ff7aacf8ca30017d834ea,US,41469.771553799896,5924.2531,"('temu.com', '615ff7aacf8ca30017d834ea', 'US')"
coupang.com,5e8e56f8fc8d4200150b3c16,KR,40996.91325350377,5856.7019,"('coupang.com', '5e8e56f8fc8d4200150b3c16', 'KR')"
mobilityware.com,5f6413c9612b1a0015099993,US,40461.84868556428,5780.2641,"('mobilityware.com', '5f6413c9612b1a0015099993', 'US')"
click.2deliverynetworks.com,61e94b2bc6dbdc0017ea3870,US,40023.657421723845,5717.6653,"('click.2deliverynetworks.com', '61e94b2bc6dbdc0017ea3870', 'US')"
shopee.com.my,5fffe796e4fa2100156e364a,MY,39728.52589195837,5675.5037,"('shopee.com.my', '5fffe796e4fa2100156e364a', 'MY')"
cg.net,5f6413c9612b1a0015099993,RU,39506.18245973295,5643.7404,"('cg.net', '5f6413c9612b1a0015099993', 'RU')"
walmart.com,645a4ac71263430014fc0a33,US,37334.19842103894,5333.4569,"('walmart.com', '645a4ac71263430014fc0a33', 'US')"
aviagames.com,5f6413c9612b1a0015099993,US,37002.05640860333,5286.0081,"('aviagames.com', '5f6413c9612b1a0015099993', 'US')"
revolut.com,5f6413c9612b1a0015099993,ES,36779.635175064635,5254.2336,"('revolut.com', '5f6413c9612b1a0015099993', 'ES')"
casinoplus.com.ph,5caf77f1e04ca66a2d4bcd7c,PH,36085.23120267997,5155.033,"('casinoplus.com.ph', '5caf77f1e04ca66a2d4bcd7c', 'PH')"
squareup.com,5f6413c9612b1a0015099993,US,36071.85280963352,5153.1218,"('squareup.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,5f6413c9612b1a0015099993,DE,36047.52146932069,5149.6459,"('temu.com', '5f6413c9612b1a0015099993', 'DE')"
tiktok.com,5f6413c9612b1a0015099993,ES,35537.40137727288,5076.7716,"('tiktok.com', '5f6413c9612b1a0015099993', 'ES')"
temu.com,5f6413c9612b1a0015099993,BR,33661.351223469355,4808.7645,"('temu.com', '5f6413c9612b1a0015099993', 'BR')"
cloudfront.net,5f6413c9612b1a0015099993,BD,33334.47083345861,4762.0673,"('cloudfront.net', '5f6413c9612b1a0015099993', 'BD')"
